Start time (UTC), 0743 
 Sky conditions, CO-SDV 
 Other notes, Simultaneous with stakes readings (Ian & Debbie). Possible scratch on spectralon plate. Surface slightly frozen (small ponds have thin ice lid). 
 Ship latitude, 79.99248
 Ship longitude, -0.65415
Position, 1, 2, 3, 4, 5, 6
Surface type,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5
756,0.692,0.678,0.208,0.319,0.673,0.648
757,0.690,0.677,0.208,0.319,0.672,0.647
758,0.689,0.676,0.207,0.317,0.670,0.646
759,0.689,0.676,0.207,0.316,0.669,0.645
760,0.688,0.675,0.209,0.317,0.667,0.643
761,0.685,0.672,0.210,0.317,0.666,0.642
762,0.683,0.668,0.209,0.316,0.665,0.641
763,0.681,0.667,0.207,0.314,0.663,0.638
764,0.681,0.667,0.206,0.313,0.660,0.636
765,0.680,0.665,0.205,0.313,0.658,0.635
766,0.678,0.664,0.203,0.313,0.659,0.633
767,0.677,0.663,0.203,0.312,0.658,0.632
768,0.675,0.662,0.203,0.311,0.657,0.630
769,0.673,0.660,0.203,0.311,0.655,0.629
770,0.672,0.658,0.202,0.310,0.654,0.626
771,0.670,0.656,0.202,0.310,0.652,0.625
772,0.669,0.654,0.202,0.309,0.651,0.624
773,0.667,0.653,0.202,0.308,0.649,0.622
774,0.666,0.652,0.201,0.308,0.648,0.621
775,0.665,0.651,0.200,0.307,0.647,0.619
776,0.663,0.649,0.200,0.307,0.645,0.618
777,0.662,0.647,0.200,0.306,0.644,0.616
778,0.660,0.646,0.200,0.306,0.642,0.615
779,0.659,0.645,0.199,0.306,0.640,0.613
780,0.658,0.644,0.199,0.304,0.639,0.611
781,0.656,0.643,0.199,0.304,0.638,0.610
782,0.655,0.642,0.199,0.303,0.637,0.609
783,0.654,0.640,0.198,0.303,0.636,0.608
784,0.654,0.638,0.197,0.302,0.634,0.606
785,0.651,0.638,0.197,0.301,0.632,0.605
786,0.650,0.637,0.197,0.301,0.632,0.605
787,0.649,0.635,0.197,0.301,0.632,0.604
788,0.648,0.634,0.196,0.300,0.629,0.603
789,0.646,0.633,0.196,0.300,0.629,0.601
790,0.645,0.632,0.196,0.299,0.628,0.600
791,0.645,0.631,0.196,0.299,0.627,0.598
792,0.644,0.631,0.196,0.299,0.626,0.599
793,0.644,0.630,0.195,0.299,0.626,0.597
794,0.643,0.629,0.195,0.299,0.625,0.597
795,0.642,0.628,0.195,0.298,0.623,0.596
796,0.641,0.627,0.195,0.297,0.623,0.595
797,0.641,0.627,0.195,0.297,0.623,0.595
798,0.641,0.626,0.195,0.298,0.623,0.594
799,0.641,0.626,0.195,0.297,0.621,0.594
800,0.644,0.630,0.195,0.299,0.626,0.598
801,0.643,0.629,0.195,0.298,0.625,0.597
802,0.642,0.629,0.195,0.298,0.624,0.597
